input_user_query,context_data
berapa Jumlah Kecamatan di Kabupaten Probolinggo tahun 2017?,Jumlah Kecamatan di Kabupaten Probolinggo tahun 2017 sebanyak 24.0.
berapa Luas Wilayah Kota Blitar tahun 2016?,Luas Wilayah Kota Blitar tahun 2016 sebesar 32.57 kilometer persegi.
Laju Indeks Implisit Menurut Pengeluaran untuk komponen ekspor luar negeri tahun 2017?,Laju Indeks Implisit Menurut Pengeluaran untuk komponen ekspor luar negeri tahun 2017 sebesar 7.47 persen.
berapa Angka Kematian Bayi di Kabupaten Malang tahun 2016?,Angka Kematian Bayi di Kabupaten Malang tahun 2016 sebesar 25.4
berapa jumlah Angkatan Kerja di Kabupaten Sumenep tahun 2011?,Jumlah Angkatan Kerja di Kabupaten Sumenep tahun 2011 sebesar 649.017
berapa Laju Pertumbuhan (c-to-c) Produk Domestik Regional Bruto (PDRB) Triwulanan Kota Batu tahun 2024?,Laju Pertumbuhan (c-to-c) Produk Domestik Regional Bruto (PDRB) Triwulanan Kota Batu Triwulan I tahun 2024 sebesar 5.25% .
berapa proporsi perempuan pernah kawin 15–49 tahun yang melahirkan anak pertama di usia kurang dari 20 tahun di Kabupaten Pacitan tahun 2022?,Proporsi perempuan pernah kawin 15–49 tahun yang melahirkan anak pertama di usia kurang dari 20 tahun di Kabupaten Pacitan tahun 2022 sebesar 0.318.
berapa Umur Harapan Hidup Hasil Long Form SP2020 di Kabupaten Gresik tahun 2020?,Umur Harapan Hidup Hasil Long Form SP2020 di Kabupaten Gresik tahun 2020 sebesar 73.66 tahun.
berapa Indeks Pembangunan Manusia (Hasil Long Form SP2020) di Kabupaten Ngawi tahun 2023?,Indeks Pembangunan Manusia (Hasil Long Form SP2020) di Kabupaten Ngawi tahun 2023 sebesar 73.28.
berapa Jumlah Bayi dengan status gizi buruk di Kabupaten Bangkalan tahun 2016 dan 2017?,Jumlah Bayi dengan status gizi buruk di Kabupaten Bangkalan tahun 2016 sebanyak 276.0 dan tahun 2017 sebanyak 242.0.
berapa Jumlah Bayi dengan status gizi buruk di Kota Blitar tahun 2016?,Jumlah Bayi dengan status gizi buruk di Kota Blitar tahun 2016 sebanyak 8.0 bayi.
Fasilitas Kesehatan Polindes di Kota Batu tahun 2017?,Jumlah Polindes di Kota Batu tahun 2017 sebanyak 11.0 unit.
berapa Imunisasi Polio 1 sampai Polio 3 di Kabupaten Sampang tahun 2016?,Imunisasi Polio 1 di Kabupaten Sampang tahun 2016 sebesar 15.65%. Polio 2 sebesar 12.65%. Polio 3 sebesar 70.94%.
berapa jumlah Klinik Keluarga Berencana (KKB) di Kota Probolinggo tahun 2016?,Klinik Keluarga Berencana (KKB) di Kota Probolinggo tahun 2016 sebanyak 71.0 unit.
berapa jumlah Pasangan Usia Subur di Kabupaten Lamongan tahun 2016?,Pasangan Usia Subur di Kabupaten Lamongan tahun 2016 sebanyak 284482.0 pasangan.
berapa jumlah Peserta KB Aktif metode IUD di Kabupaten Ponorogo tahun 2016?,Peserta KB Aktif metode IUD di Kabupaten Ponorogo tahun 2016 sebanyak 54499.0 peserta.
berapa Pendapatan Bersih Bulan Dana PMI di Kabupaten Sidoarjo tahun 2016?,Pendapatan Bersih Bulan Dana PMI di Kabupaten Sidoarjo tahun 2016 sebesar 35.000.0000 rupiah.
berapa jumlah Korps Sukarela di Kota Probolinggo tahun 2016?,Korps Sukarela di Kota Probolinggo tahun 2016 sebanyak 37.0 orang.
berapa jumlah tempat peribadatan Gereja Katolik di Kabupaten Blitar tahun 2017?,Jumlah Gereja Katolik di Kabupaten Blitar tahun 2017 sebanyak 63.0 bangunan.
berapa jumlah Perguruan Tinggi Swasta di Kabupaten Kediri tahun 2016?,Jumlah Perguruan Tinggi Swasta di Kabupaten Kediri tahun 2016 sebanyak 26.0 institusi.
berapa luas panen terong tahun 2013?,Luas panen terong tahun 2013 sebesar 3735.0 hektar.
berapa produksi kangkung tahun 2015?,Produksi kangkung tahun 2015 sebesar 14140.0 kuintal.
berapa jumlah tanaman rambutan tahun 2015?,Jumlah tanaman rambutan tahun 2015 sebanyak 1920448.0 pohon.
berapa produksi pepaya tahun 2012?,Produksi pepaya tahun 2012 sebesar 323370.0 kuintal.
berapa nilai ekspor komoditi lemak dan minyak hewan/nabati tahun 2015?,Nilai ekspor komoditi lemak dan minyak hewan/nabati tahun 2015 sebesar 1206516733.0 rupiah.
berapa volume ekspor ke Bangladesh tahun 2016?,Volume ekspor ke Bangladesh tahun 2016 sebesar 190916779.91 kilogram.
berapa nilai ekspor komoditi alas kaki tahun 2016?,Nilai ekspor komoditi alas kaki tahun 2016 sebesar 544097285.68 rupiah.
berapa nilai Satgas/UPGB/Draying Center/P2P di Kediri tahun 2016?,Nilai Satgas/UPGB/Draying Center/P2P di Kediri tahun 2016 sebesar 30080760.0 rupiah.
berapa persediaan beras nasional di Provinsi Maluku tahun 2015?,Persediaan beras nasional di Provinsi Maluku tahun 2015 sebesar 18000.0 ton.
berapa jumlah tamu asing pada bulan Desember tahun 2016?,Jumlah tamu asing pada bulan Desember tahun 2016 sebanyak 50445.0 orang.
berapa jumlah tamu domestik pada bulan Juni tahun 2016?,Jumlah tamu domestik pada bulan Juni tahun 2016 sebanyak 757459.0 orang.
berapa jumlah Restoran atau Rumah Makan di Kabupaten Lumajang tahun 2016?,Jumlah Restoran atau Rumah Makan di Kabupaten Lumajang tahun 2016 sebanyak 21.0 unit.
berapa jumlah penduduk yang bekerja di Kabupaten Ponorogo tahun 2011?,Jumlah penduduk yang bekerja di Kabupaten Ponorogo tahun 2011 sebanyak 446382.0 orang.
berapa Tingkat Partisipasi Angkatan Kerja di Kabupaten Kediri tahun 2022?,Tingkat Partisipasi Angkatan Kerja di Kabupaten Kediri tahun 2022 sebesar 68.73 persen.
penduduk 10 tahun ke atas yang tidak atau belum tamat SD/MI di Kabupaten Trenggalek tahun 2013?,Persentase penduduk 10 tahun ke atas yang tidak atau belum tamat SD/MI di Kabupaten Trenggalek tahun 2013 sebesar 17.77 persen.
berapa jumlah PNS Golongan I di Kota Batu tahun 2011?,Jumlah PNS Golongan I di Kota Batu tahun 2011 sebanyak 169.0 orang.
berapa Pengeluaran Per Kapita Riil Disesuaikan di Kabupaten Ponorogo tahun 2002?,Pengeluaran Per Kapita Riil Disesuaikan di Kabupaten Ponorogo tahun 2002 sebesar 593.4 ribu rupiah.
berapa rata-rata pengeluaran per kapita sebulan untuk kelompok makanan kacang-kacangan tahun 2019?,Rata-rata pengeluaran per kapita sebulan untuk kelompok kacang-kacangan tahun 2019 sebesar 15433.0 rupiah.
jumlah sekolah tk kabupaten malang tahun 2017,Jumlah sekolah TK di kabupaten malang tahun 2017 adalah 963 sekolah
berapa jumlah murid tk di kota madiun 2017,Jumlah murid TK di kota madiun tahun 2017 adalah 6143 murid
data guru tk kabupaten jombang 2017,Jumlah guru TK di kabupaten jombang tahun 2017 adalah 1913 guru
rasio murid guru tk pacitan tahun 2017,Rasio murid-guru TK di kabupaten pacitan tahun 2017 adalah 10.47
jumlah sekolah sd kota mojokerto 2017,Jumlah sekolah SD di kota mojokerto tahun 2017 adalah 60 sekolah
berapa sekolah sd di kota mojokerto tahun 2018,Jumlah sekolah SD di kota mojokerto tahun 2018 adalah 61 sekolah
data murid sd kabupaten lumajang 2017,Jumlah murid SD di kabupaten lumajang tahun 2017 adalah 79800 murid
jumlah murid sd lumajang tahun 2018,Jumlah murid SD di kabupaten lumajang tahun 2018 adalah 72145 murid
berapa guru sd kota surabaya 2017,Jumlah guru SD di kota surabaya tahun 2017 adalah 12969 guru
jumlah guru sd di surabaya tahun 2018,Jumlah guru SD di kota surabaya tahun 2018 adalah 12088 guru
rasio murid guru sd pacitan 2017,Rasio murid-guru SD di kabupaten pacitan tahun 2017 adalah 10.23
data rasio murid guru sd kabupaten pacitan 2018,Rasio murid-guru SD di kabupaten pacitan tahun 2018 adalah 10.52
jumlah sekolah smp kabupaten pacitan tahun 2017,Jumlah sekolah SMP di kabupaten pacitan tahun 2017 adalah 72 sekolah
berapa sekolah smp pacitan 2018,Jumlah sekolah SMP di kabupaten pacitan tahun 2018 adalah 70 sekolah
data murid smp kabupaten pacitan 2017,Jumlah murid SMP di kabupaten pacitan tahun 2017 adalah 17068 murid
rasio murid guru smp kota kediri tahun 2017,Rasio murid-guru SMP di kota kediri tahun 2017 adalah 13.61
berapa rasio murid guru smp kediri 2018,Rasio murid-guru SMP di kota kediri tahun 2018 adalah 15.99
jumlah sekolah sma kota mojokerto 2017,Jumlah sekolah SMA di kota mojokerto tahun 2017 adalah 11 sekolah
data sekolah sma mojokerto tahun 2018,Jumlah sekolah SMA di kota mojokerto tahun 2018 adalah 11 sekolah
apk sd blitar tahun 2013,APK SD (7-12 th) di blitar tahun 2013 adalah 106.79
angka partisipasi kasar sd blitar 2020,APK SD (7-12 th) di blitar tahun 2020 adalah 101.24
aps sd kota surabaya laki-laki 2013,APS SD (7-12 TH) di kota surabaya untuk laki-laki tahun 2013 adalah 99.11
angka partisipasi sekolah sd surabaya laki-laki tahun 2020,APS SD (7-12 TH) di kota surabaya untuk laki-laki tahun 2020 adalah 99.8
apk smp jember tahun 2013,APK SMP (13-15 th) di jember tahun 2013 adalah 85.32
data apk smp jember 2020,APK SMP (13-15 th) di jember tahun 2020 adalah 90.44
jumlah sekolah smk kota batu 2017,Jumlah sekolah SMK di kota batu tahun 2017 adalah 13 sekolah
berapa sekolah smk batu tahun 2018,Jumlah sekolah SMK di kota batu tahun 2018 adalah 13 sekolah
data guru smk kabupaten pacitan 2017,Jumlah guru SMK di kabupaten pacitan tahun 2017 adalah 1142 guru
jumlah guru smk pacitan 2018,Jumlah guru SMK di kabupaten pacitan tahun 2018 adalah 1078 guru
rasio guru murid smk pacitan tahun 2017,Rasio guru-murid SMK di kabupaten pacitan tahun 2017 adalah 8.05
berapa rasio guru murid smk kabupaten pacitan 2018,Rasio guru-murid SMK di kabupaten pacitan tahun 2018 adalah 10.36
jumlah sekolah mi kabupaten tuban 2017,Jumlah sekolah MI di kabupaten tuban tahun 2017 adalah 215 sekolah
data sekolah mi tuban tahun 2018,Jumlah sekolah MI di kabupaten tuban tahun 2018 adalah 215 sekolah
produksi jeruk siam tahun 2012,Produksi Tanaman Buah dan Sayuran Tahunan untuk jeruk siam/keprok tahun 2012 adalah 362680
data produksi jeruk keprok 2013,Produksi Tanaman Buah dan Sayuran Tahunan untuk jeruk siam/keprok tahun 2013 adalah 514855
volume ekspor perhiasan tahun 2015,Volume Ekspor Menurut Jenis Komoditi untuk perhiasan/permata tahun 2015 adalah 1930180
berapa ekspor permata 2016,Volume Ekspor Menurut Jenis Komoditi untuk perhiasan/permata tahun 2016 adalah 2015385
nilai ekspor aluminium tahun 2015 dan 2016,Nilai Ekspor Menurut Jenis Komoditi untuk aluminium tahun 2015 adalah 251912180 dan tahun 2016 adalah 193321845
berapa ekspor ke korea selatan 2015 2016,Nilai Ekspor Menurut Negara Tujuan ke korea selatan tahun 2015 adalah 436454058.91 dan tahun 2016 adalah 418156726.83
total volume ekspor tahun 2015 dan 2016,Volume Ekspor menurut Jenis Komoditi Asal Barang total tahun 2015 adalah 10324907253.04 dan tahun 2016 adalah 12752065153.57
volume impor dari vietnam 2015 2016,Volume Impor Menurut Negara Asal dari vietnam tahun 2015 adalah 709798884 dan tahun 2016 adalah 705815047
harga riil beras madura tahun 2015 dan 2016,Harga Riil Beras di madura tahun 2015 adalah 7229.17 dan tahun 2016 adalah 7657
data satgas upgb ponorogo 2015 2016,Satgas/UPGB/Draying Center/p2p di ponorogo tahun 2015 adalah 29383755 dan tahun 2016 adalah 32171850
persediaan beras nasional kalimantan timur 2016,Persediaan Beras Nasional di kalimantan timur tahun 2016 adalah 15073
jumlah restoran rumah makan jember 2013 sampai 2016,Restoran/Rumah Makan di jember tahun 2013 adalah 59 tahun 2014 adalah 56 tahun 2015 adalah  67 dan tahun 2016 adalah 67
penduduk bekerja kabupaten sidoarjo 2011 2012 2013,Jumlah Penduduk yang Bekerja di kabupaten sidoarjo tahun 2011: 957899 tahun 2012: 957887 dan tahun 2013: 996960
tpak kabupaten pasuruan tahun 2011,Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota di kabupaten pasuruan tahun 2011 adalah 70.88
fasilitas tempat buang air besar umum kota pasuruan 2005 sampai 2007,Fasilitas Tempat Buang Air Besar umum di kota pasuruan tahun 2005: 12.42 tahun 2006: 9.21 dan tahun 2007: 11.71
populasi sapi perah tuban 2009 2010 2011,Populasi Sapi Perah di tuban tahun 2009: 689 tahun 2010: 907 dan tahun 2011: 1735
data kerbau jombang tahun 2010 dan 2011,Populasi Kerbau di jombang tahun 2010 adalah 300 dan tahun 2011 adalah 352
populasi kuda jember 2015 2016,Populasi Kuda di jember tahun 2015 adalah 363 dan tahun 2016 adalah 372
